# ID,label,height,root_density
   0.00000,   0.00000,  19.73000,   0.00276
   1.00000,   0.00000,   8.47000,   0.00434
   2.00000,   0.00000,  15.57000,   0.00145
   3.00000,   0.00000,  16.47000,   0.00097
   4.00000,   0.00000,   9.75000,   0.00041
   5.00000,   0.00000,  13.58000,   0.00118
   6.00000,   0.00000,   8.33000,   0.00062
   7.00000,   0.00000,  17.41000,   0.00031
   8.00000,   0.00000,  11.57000,   0.00129
   9.00000,   0.00000,  14.16000,   0.00108
  10.00000,   0.00000,  13.56000,   0.00111
  11.00000,   0.00000,  18.11000,   0.00061
  12.00000,   0.00000,   8.54000,   0.00578
  13.00000,   0.00000,  15.49000,   0.00149
  14.00000,   0.00000,   8.39000,   0.00125
  15.00000,   0.00000,  13.16000,   0.00042
  16.00000,   0.00000,  12.85000,   0.00093
  17.00000,   0.00000,   8.72000,   0.00071
  18.00000,   0.00000,   7.56000,   0.00447
  19.00000,   0.00000,  10.64000,   0.00066
  20.00000,   0.00000,  14.74000,   0.00180
  21.00000,   0.00000,  16.21000,   0.00091
  22.00000,   0.00000,  12.54000,   0.00050
  23.00000,   0.00000,  14.21000,   0.00056
  24.00000,   0.00000,  13.73000,   0.00132
  25.00000,   0.00000,  10.28000,   0.00058
  26.00000,   0.00000,  12.06000,   0.00041
  27.00000,   0.00000,  12.44000,   0.00273
  28.00000,   0.00000,  16.87000,   0.00102
  29.00000,   0.00000,   9.75000,   0.00041
  30.00000,   0.00000,  18.71000,   0.00030
  31.00000,   0.00000,  12.08000,   0.00037
  32.00000,   0.00000,   9.80000,   0.00164
  33.00000,   0.00000,  20.88000,   0.00369
  34.00000,   0.00000,  19.61000,   0.00023
  35.00000,   0.00000,  10.89000,   0.00121
  36.00000,   0.00000,  13.81000,   0.00113
  37.00000,   0.00000,  11.15000,   0.00036
  38.00000,   0.00000,  11.09000,   0.00035
  39.00000,   0.00000,  12.35000,   0.00487
  40.00000,   0.00000,  14.22000,   0.00614
  41.00000,   0.00000,  14.44000,   0.00141
  42.00000,   0.00000,  14.30000,   0.00090
  43.00000,   0.00000,  14.85000,   0.00109
  44.00000,   0.00000,  13.72000,   0.00041
  45.00000,   0.00000,  16.29000,   0.00123
  46.00000,   0.00000,  14.45000,   0.00145
  47.00000,   0.00000,  12.55000,   0.00050
  48.00000,   0.00000,  16.14000,   0.00309
  49.00000,   0.00000,  16.86000,   0.00103
  50.00000,   0.00000,  12.30000,   0.00108
  51.00000,   0.00000,  10.53000,   0.00110
  52.00000,   0.00000,  14.08000,   0.00078
  53.00000,   0.00000,   8.83000,   0.00264
  54.00000,   0.00000,  17.84000,   0.00037
  55.00000,   0.00000,  14.47000,   0.00007
  56.00000,   0.00000,   9.91000,   0.00132
  57.00000,   0.00000,  18.67000,   0.00085
  58.00000,   0.00000,   8.58000,   0.00222
  59.00000,   0.00000,  10.82000,   0.00129
  60.00000,   0.00000,  13.26000,   0.00006
  61.00000,   0.00000,   9.92000,   0.00070
  62.00000,   0.00000,   9.90000,   0.00160
  63.00000,   0.00000,   7.54000,   0.00186
  64.00000,   0.00000,  13.44000,   0.00004
  65.00000,   0.00000,   8.08000,   0.00135
  66.00000,   0.00000,  13.29000,   0.00111
  67.00000,   0.00000,  18.99000,   0.00075
  68.00000,   0.00000,  14.67000,   0.00142
  69.00000,   0.00000,  12.24000,   0.00029
  70.00000,   0.00000,  11.89000,   0.00117
  71.00000,   0.00000,   7.42000,   0.00321
  72.00000,   0.00000,   8.27000,   0.00148
  73.00000,   0.00000,  14.89000,   0.00060
  74.00000,   0.00000,  12.57000,   0.00102
  75.00000,   0.00000,  11.55000,   0.00077
  76.00000,   0.00000,  16.51000,   0.00014
  77.00000,   0.00000,  19.63000,   0.00121
  78.00000,   0.00000,  12.12000,   0.00527
  79.00000,   0.00000,   8.10000,   0.00087
  80.00000,   0.00000,  11.90000,   0.00117
  81.00000,   0.00000,   9.11000,   0.00324
  82.00000,   0.00000,  11.19000,   0.00126
  83.00000,   0.00000,  14.80000,   0.00079
  84.00000,   0.00000,  12.11000,   0.00032
  85.00000,   0.00000,  12.25000,   0.00156
  86.00000,   0.00000,  12.10000,   0.00076
  87.00000,   0.00000,  12.59000,   0.00180
  88.00000,   0.00000,  11.60000,   0.00044
  89.00000,   0.00000,  11.40000,   0.00236
  90.00000,   0.00000,   9.77000,   0.00044
  91.00000,   0.00000,  20.09000,   0.00121
  92.00000,   0.00000,  19.53000,   0.00037
  93.00000,   0.00000,  11.65000,   0.00244
  94.00000,   0.00000,   7.23000,   0.00188
  95.00000,   0.00000,  14.75000,   0.00065
